service_id,region,strategy
1,ap-northeast-1,control
1,us-west-2,control
1,eu-west-1,control
1,ap-southeast-1,control
2,ap-southeast-1,control
2,ap-northeast-1,control
3,ap-southeast-1,control
3,us-east-1,control
3,us-west-2,control
3,eu-west-1,control
4,ap-northeast-1,control
4,us-east-1,control
4,us-west-2,control
5,us-east-1,control
5,ap-northeast-1,control
6,us-west-2,control
6,ap-northeast-1,control
7,us-east-1,control
7,ap-northeast-1,control
7,us-west-2,control
8,us-west-2,control
8,ap-southeast-1,control
9,ap-northeast-1,control
9,us-east-1,control
9,ap-southeast-1,control
10,eu-west-1,control
10,ap-northeast-1,control
11,ap-northeast-1,control
11,us-east-1,control
12,us-east-1,control
12,us-west-2,control
13,ap-southeast-1,control
13,us-east-1,control
13,us-west-2,control
13,eu-west-1,control
14,us-east-1,control
14,us-west-2,control
14,ap-northeast-1,control
14,eu-west-1,control
15,ap-southeast-1,control
15,ap-northeast-1,control
16,us-east-1,control
16,ap-northeast-1,control
17,us-east-1,control
17,ap-northeast-1,control
17,ap-southeast-1,control
17,us-west-2,control
18,us-west-2,control
18,ap-northeast-1,control
18,ap-southeast-1,control
18,eu-west-1,control
19,us-east-1,control
19,us-west-2,control
19,ap-southeast-1,control
20,ap-northeast-1,control
20,us-west-2,control
20,eu-west-1,control
20,ap-southeast-1,control
21,ap-northeast-1,control
21,ap-southeast-1,control
21,us-west-2,control
22,eu-west-1,control
22,us-west-2,control
23,us-west-2,control
23,us-east-1,control
23,ap-southeast-1,control
24,us-east-1,control
24,ap-southeast-1,control
24,us-west-2,control
24,ap-northeast-1,control
25,eu-west-1,control
25,ap-northeast-1,control
26,us-east-1,control
26,ap-northeast-1,control
26,ap-southeast-1,control
27,ap-northeast-1,control
27,us-east-1,control
28,ap-northeast-1,control
28,ap-southeast-1,control
28,us-east-1,control
29,us-west-2,control
29,eu-west-1,control
30,eu-west-1,control
30,ap-southeast-1,control
31,ap-northeast-1,control
31,ap-southeast-1,control
31,us-east-1,control
31,us-west-2,control
32,ap-southeast-1,control
32,us-west-2,control
32,eu-west-1,control
33,ap-southeast-1,control
33,us-west-2,control
33,us-east-1,control
33,ap-northeast-1,control
34,eu-west-1,control
34,ap-northeast-1,control
35,ap-southeast-1,control
35,us-west-2,control
35,eu-west-1,control
35,us-east-1,control
36,eu-west-1,control
36,us-west-2,control
36,us-east-1,control
36,ap-southeast-1,control
37,us-west-2,control
37,us-east-1,control
37,eu-west-1,control
37,ap-southeast-1,control
38,us-east-1,control
38,ap-northeast-1,control
39,ap-northeast-1,control
39,us-west-2,control
39,eu-west-1,control
39,ap-southeast-1,control
40,ap-southeast-1,control
40,eu-west-1,control
40,us-east-1,control
40,us-west-2,control
41,eu-west-1,control
41,ap-northeast-1,control
41,us-west-2,control
42,ap-northeast-1,control
42,us-east-1,control
42,ap-southeast-1,control
43,ap-southeast-1,control
43,ap-northeast-1,control
43,us-east-1,control
44,ap-northeast-1,control
44,us-east-1,control
45,eu-west-1,control
45,us-west-2,control
45,ap-southeast-1,control
45,us-east-1,control
46,ap-northeast-1,control
46,eu-west-1,control
46,ap-southeast-1,control
47,ap-northeast-1,control
47,us-west-2,control
47,eu-west-1,control
48,us-west-2,control
48,ap-northeast-1,control
48,us-east-1,control
49,us-west-2,control
49,ap-southeast-1,control
49,eu-west-1,control
50,ap-southeast-1,control
50,ap-northeast-1,control
50,us-west-2,control
51,us-east-1,control
51,ap-southeast-1,control
51,ap-northeast-1,control
51,us-west-2,control
52,us-east-1,control
52,ap-northeast-1,control
53,us-east-1,control
53,ap-southeast-1,control
53,ap-northeast-1,control
53,eu-west-1,control
54,us-east-1,control
54,eu-west-1,control
55,us-west-2,control
55,us-east-1,control
56,ap-southeast-1,control
56,us-west-2,control
57,us-west-2,control
57,us-east-1,control
58,eu-west-1,control
58,ap-northeast-1,control
58,us-west-2,control
58,ap-southeast-1,control
59,eu-west-1,control
59,ap-southeast-1,control
60,ap-northeast-1,control
60,ap-southeast-1,control
60,us-east-1,control
60,eu-west-1,control
61,eu-west-1,control
61,us-west-2,control
61,us-east-1,control
61,ap-northeast-1,control
62,us-west-2,control
62,ap-southeast-1,control
63,us-east-1,control
63,ap-southeast-1,control
63,us-west-2,control
63,ap-northeast-1,control
64,us-west-2,control
64,ap-northeast-1,control
64,us-east-1,control
65,eu-west-1,control
65,us-east-1,control
66,us-west-2,control
66,ap-southeast-1,control
67,us-east-1,control
67,us-west-2,control
67,eu-west-1,control
68,eu-west-1,control
68,ap-southeast-1,control
68,us-east-1,control
69,eu-west-1,control
69,us-east-1,control
70,us-west-2,control
70,ap-southeast-1,control
70,us-east-1,control
71,ap-southeast-1,control
71,us-east-1,control
71,ap-northeast-1,control
71,us-west-2,control
72,ap-southeast-1,control
72,us-west-2,control
72,us-east-1,control
72,ap-northeast-1,control
73,us-west-2,control
73,eu-west-1,control
73,ap-southeast-1,control
73,ap-northeast-1,control
74,eu-west-1,control
74,ap-southeast-1,control
74,ap-northeast-1,control
74,us-east-1,control
75,ap-northeast-1,control
75,eu-west-1,control
75,ap-southeast-1,control
76,ap-northeast-1,control
76,us-west-2,control
76,us-east-1,control
76,ap-southeast-1,control
77,ap-northeast-1,control
77,us-west-2,control
77,us-east-1,control
78,ap-southeast-1,control
78,ap-northeast-1,control
79,us-west-2,control
79,us-east-1,control
80,ap-northeast-1,control
80,ap-southeast-1,control
80,us-west-2,control
81,ap-northeast-1,control
81,eu-west-1,control
81,us-west-2,control
82,ap-northeast-1,control
82,us-east-1,control
83,eu-west-1,control
83,ap-southeast-1,control
84,ap-southeast-1,control
84,eu-west-1,control
85,us-west-2,control
85,eu-west-1,control
85,ap-northeast-1,control
86,ap-southeast-1,control
86,ap-northeast-1,control
87,eu-west-1,control
87,ap-northeast-1,control
87,us-east-1,control
88,us-east-1,control
88,ap-northeast-1,control
88,eu-west-1,control
89,eu-west-1,control
89,ap-northeast-1,control
89,ap-southeast-1,control
89,us-west-2,control
90,ap-southeast-1,control
90,us-east-1,control
90,ap-northeast-1,control
91,eu-west-1,control
91,ap-northeast-1,control
91,us-west-2,control
91,us-east-1,control
92,ap-southeast-1,control
92,ap-northeast-1,control
93,ap-southeast-1,control
93,ap-northeast-1,control
93,eu-west-1,control
93,us-east-1,control
94,ap-northeast-1,control
94,eu-west-1,control
94,ap-southeast-1,control
94,us-west-2,control
95,us-east-1,control
95,ap-northeast-1,control
95,us-west-2,control
95,ap-southeast-1,control
96,us-east-1,control
96,eu-west-1,control
97,us-east-1,control
97,eu-west-1,control
98,eu-west-1,control
98,us-west-2,control
98,us-east-1,control
98,ap-northeast-1,control
99,us-east-1,control
99,us-west-2,control
99,eu-west-1,control
99,ap-southeast-1,control
100,us-east-1,control
100,us-west-2,control
100,eu-west-1,control
101,ap-northeast-1,control
101,eu-west-1,control
102,ap-northeast-1,control
102,eu-west-1,control
103,eu-west-1,control
103,ap-southeast-1,control
103,us-east-1,control
104,eu-west-1,control
104,ap-southeast-1,control
104,us-west-2,control
104,us-east-1,control
105,eu-west-1,control
105,ap-southeast-1,control
105,ap-northeast-1,control
105,us-west-2,control
106,us-west-2,control
106,eu-west-1,control
107,ap-southeast-1,control
107,eu-west-1,control
107,us-west-2,control
108,ap-southeast-1,control
108,ap-northeast-1,control
109,us-west-2,control
109,eu-west-1,control
110,us-west-2,control
110,eu-west-1,control
111,eu-west-1,control
111,us-west-2,control
112,us-west-2,control
112,us-east-1,control
113,us-west-2,control
113,ap-northeast-1,control
113,us-east-1,control
114,ap-northeast-1,control
114,ap-southeast-1,control
114,us-west-2,control
114,us-east-1,control
115,us-east-1,control
115,eu-west-1,control
116,ap-southeast-1,control
116,eu-west-1,control
117,ap-southeast-1,control
117,us-west-2,control
118,ap-southeast-1,control
118,ap-northeast-1,control
118,eu-west-1,control
118,us-east-1,control
119,eu-west-1,control
119,ap-northeast-1,control
119,ap-southeast-1,control
119,us-west-2,control
120,us-east-1,control
120,ap-southeast-1,control
120,ap-northeast-1,control
120,eu-west-1,control
121,ap-northeast-1,control
121,us-west-2,control
121,us-east-1,control
122,eu-west-1,control
122,ap-northeast-1,control
122,ap-southeast-1,control
122,us-west-2,control
123,eu-west-1,control
123,us-east-1,control
123,ap-northeast-1,control
124,us-west-2,control
124,us-east-1,control
125,ap-southeast-1,control
125,us-west-2,control
125,us-east-1,control
126,us-west-2,control
126,us-east-1,control
126,ap-northeast-1,control
127,us-west-2,control
127,ap-northeast-1,control
128,ap-northeast-1,control
128,eu-west-1,control
129,us-west-2,control
129,eu-west-1,control
129,ap-southeast-1,control
130,ap-southeast-1,control
130,us-west-2,control
130,us-east-1,control
130,ap-northeast-1,control
131,eu-west-1,control
131,us-west-2,control
131,us-east-1,control
131,ap-northeast-1,control
132,ap-northeast-1,control
132,ap-southeast-1,control
132,eu-west-1,control
133,us-west-2,control
133,ap-northeast-1,control
134,ap-southeast-1,control
134,us-west-2,control
135,us-east-1,control
135,eu-west-1,control
136,us-west-2,control
136,eu-west-1,control
136,ap-southeast-1,control
137,ap-southeast-1,control
137,us-east-1,control
137,ap-northeast-1,control
137,eu-west-1,control
138,ap-northeast-1,control
138,us-east-1,control
139,ap-northeast-1,control
139,us-east-1,control
140,us-west-2,control
140,us-east-1,control
140,ap-southeast-1,control
141,us-west-2,control
141,us-east-1,control
141,ap-southeast-1,control
142,eu-west-1,control
142,ap-southeast-1,control
142,ap-northeast-1,control
143,eu-west-1,control
143,us-east-1,control
143,ap-northeast-1,control
143,ap-southeast-1,control
144,us-east-1,control
144,us-west-2,control
144,ap-northeast-1,control
145,us-east-1,control
145,ap-southeast-1,control
146,ap-northeast-1,control
146,us-west-2,control
146,ap-southeast-1,control
147,us-east-1,control
147,ap-northeast-1,control
148,ap-southeast-1,control
148,us-east-1,control
148,ap-northeast-1,control
149,us-east-1,control
149,us-west-2,control
149,ap-northeast-1,control
150,ap-southeast-1,control
150,us-east-1,control
150,us-west-2,control
150,eu-west-1,control
